Key,English,French,German,Spanish,Italian,Korean,Polish,Russian,Chinese
Stop It,Stop It, Arrêtez-le,Hör auf,Basta,Smettila,?????,Przesta?,????????,??
Street,Street, Rue,Straße,Calle,Via,??,Ulica,?????,?
Street Address,Street Address, Adresse de la rue,Anschrift,Dirección,Indirizzo,?? ??,Ulica i adres,????? ?????,????
System,System, Système,System,Sistema,Sistema,??,System,???????,??
System Settings,System Settings, Paramètres du système ,Systemeinstellungen,Configuración del sistema,Impostazioni di sistema,?? ??,Ustawienia systemowe,????????? ?????????,????
Template Category,Template Category, Catégorie de modèle ,Vorlagen-Kategorie,Categoría de plantilla,Categoria modello,??? ??,Kategoria szablonu,????????? ???????,????
Template Name,Template Name, Nom du modèle ,Name der Vorlage,Nombre de la plantilla,Nome modello,??? ??,Nazwa szablonu,??? ???????,????
Templates,Templates, Modèles ,Schablonen,Plantillas,Modelli,???,Szablony,???????,??
Test Recipient,Test Recipient, Destinataire du test ,Testempfänger,Destinatario de la prueba,Destinatario del test,??? ???,Odbiorca testu,?????????? ?????,?????
Unlock,Unlock, Déverrouiller ,Aufschließen,Abrir,Aprire,?? ??,Odblokowa?,????????,??
Update,Update, Mettre à jour ,Aktualisieren,Actualizar,Aggiornare,????,Aktualizacja,?????????,??
Update Branch,Update Branch, Mettre à jour la branche ,Zweig aktualisieren,Rama de actualización,Aggiorna ramo,?? ????,Aktualizuj ga???,????? ??????????,????
Update Scheduled,Update Scheduled, Mise à jour programmée ,Update geplant,Actualización programada,Aggiornamento pianificato,???? ??,Aktualizacja zaplanowana,?????????? ?????????????,?????
Update Settings,Update Settings, Paramètres de mise à jour ,Einstellungen aktualisieren,Actualizar la configuración,Impostazioni di aggiornamento,?? ????,Aktualizuj ustawienia,????????? ??????????,????
Upload Thumbnail Photo,Upload Thumbnail Photo, Télécharger une photo miniature ,Thumbnail-Foto hochladen,Subir foto en miniatura,Carica foto in miniatura,??? ?? ???,Prze?lij miniatur? zdj?cia,????????? ????????? ????,???????
Use SMTP Authentication,Use SMTP Authentication, Utiliser l’authentification SMTP ,SMTP-Authentifizierung verwenden,Usar autenticación SMTP,Utilizzare l'autenticazione SMTP,SMTP ?? ??,Korzystanie z uwierzytelniania SMTP,????????????? ???????? ??????????? SMTP,?? SMTP ????
Use SSL,Use SSL, Utiliser SSL ,Verwenden Sie SSL,Usar SSL,Usa SSL,SSL ??,Korzystanie z protoko?u SSL,??????????? SSL,????????
Use TLS,Use TLS, Utiliser TLS ,TLS verwenden,Usar TLS,Utilizzare TLS,TLS ??,Korzystanie z protoko?u TLS,????????????? TLS,?????
User,User, Utilisateur ,Benutzer,Usuario,Utente,???,U?ytkownik,????????????,??
User Helpdesk URL,User Helpdesk URL, URL du helpdesk utilisateur ,Benutzer-Helpdesk-URL,URL del servicio de asistencia al usuario,URL dell'helpdesk utente,??? ????? URL,Adres URL pomocy technicznej dla u?ytkowników,URL-????? ?????? ????????? ?????????????,???????
Username,Username, Nom d’utilisateur ,Nutzername,Nombre de usuario,Nome utente,??? ??,Nazwa u?ytkownika,??? ????????????,???
Users,Users, Utilisateurs ,Benutzer,Usuarios,Gli utenti,???,U?ytkowników,?????????????,??
UseTLS,UseTLS, UtiliserTLS ,VerwendenTLS,UseTLS,UseTLS,TLS ??,UseTLS,UseTLS,??TLS
Website FQDN,Website FQDN, FQDN du site Web ,Webseite FQDN,FQDN del sitio web,FQDN del sito web,? ??? FQDN,Nazwa FQDN witryny sieci Web,?????? ???????? ??? ???-?????,?? FQDN
Website Name,Website Name, Nom du site Web ,Website Name,Nombre del sitio web,Nome del sito web,? ??? ??,Nazwa strony internetowej,???????? ???-?????,????
Zip Code,Zip Code, Code postal,PLZ,Código postal,CAP,????,Kod pocztowy,???????? ??????,????
,,,,,,,,,
